ARTICOLO;DESCRIZIONE;Q.TA
A08001;PINZE PER MONTAGGIO CHARMS;2,00
A08120;COUVETTE PER COLLANE;4,00
A08247;COUVETTE ALTA  PER COLLANE;3,00
A08244;COUVETTE  A 36 SPAZI;3,00
A08249;COUVETTE  A 16 SPAZI;2,00
A08119;COUVETTE PER BRACCIALI A CROCE;4,00
A08246;COUVETTE ALTA PER BRACCIALI A CROCE;2,00
06557;CHARM TORTELLINO;1,00
06553;CHARM PENNA;1,00
06552;CHARM FARFALLA;1,00
06551;CHARM PIPA;1,00
08888;CHARM MATTARELLO;1,00
08634;CHARM TOQUE;1,00
06203;CHARM CHILI;1,00
08877;CHARM PEPERONCINI;1,00
08882;CHARM BREZEL;1,00
08879;CHARM GELATO;1,00
08878;CHARM GHIACCIOLO;1,00
08655;CHARM TEIERA INGLESE;1,00
09667;CHARM CIOCCOLATO;1,00
09666;CHICCO CAFFE';1,00
08886;CHARM TAZZINA;1,00
08885;CHARM MOKA;1,00
06001;CHARM SCOPA;1,00
06000;CHARM GOBBO;1,00
06004;CHARM LISCA DI PESCE;1,00
09664;CHARM SCHIUMAROLA;1,00
06254;CHARM TIREBUCHON;1,00
09662;CHARM FORCHETTA;1,00
09665;CHARM COLTELLO;1,00
09663;CHARM CUCCHIAIO;1,00
06020;CHARM COLTELLO A PUNTA;1,00
06016;CHARM MEZZALUNA;1,00
06021;CHARM IMBUTO;1,00
06022;CHARM APRIBOTTIGLIE;1,00
09858;CHARM CHAMPAGNE;1,00
08894;CHARM BOTTE;1,00
08893;CHARM FIASCO;1,00
08889;CHARM BOCCALE BIRRA;1,00
10168;CHARM CORNO ROSSO LISCIO;1,00
10167;CHARM CORNO ROSSO CUPOLA;1,00
10166;CHARM CORNO ROSSO CORONA;1,00
06003;CHARM QUADRIFOGLIO PICCOLO;1,00
06562;CHARM QUADRIFOGLIO;1,00
06561;CHARM QUADRIFOGLIO MEDIO;1,00
06010;CHARM QUADRIFOGLIO GRANDE;1,00
07763;CHARM QUADRIFOGLIO;1,00
06569;CHARM MANO CORNA;1,00
06570;CHARM FERRO CAVALLO;1,00
06007;CHARM FERRO DI CAVALLO PICCOLO;1,00
06012;CHARM FERRO DI CAVALLO GRANDE;1,00
06002;CHARM TREDICI PICCOLO;1,00
06009;CHARM TREDICI GRANDE;1,00
06202;CHARM CORNUCOPIA;1,00
06006;CHARM ELEFANTE;1,00
06647;"""A"" CON STELLE";1,00
A08165;COUVETTE MATRIMONIALE;3,00
09463;CUORE INTRECCI;1,00
08631;CHARM I LOVE PAPA';1,00
08630;CHARM I LOVE MAMMA;1,00
08724;CHARM SPECCHIETTO;1,00
08723;CHARM POCHETTE;1,00
08722;CHARM BORSETTA;1,00
06011;CHARM CORNO GRANDE;1,00
06571;CHARM CORNO;1,00
06005;CHARM CORNO PICCOLO;1,00
08760;CHARM CORNO MEDIO CORONA;1,00
08765;CHARM CORNO PICCOLO CORONA;1,00
08768;CHARM CORNO NERO CUPOLA;1,00
08770;CHARM CORNO ROSSO CROCO;1,00
06664;"""T"" CON STELLE";1,00
06663;"""S"" CON STELLE";1,00
06662;"""R"" CON STELLE";1,00
06661;"""Q"" CON STELLE";1,00
06660;"""P"" CON STELLE";1,00
06659;"""O"" CON STELLE";1,00
06658;"""N"" CON STELLE";1,00
06657;"""M"" CON STELLE";1,00
06656;"""L"" CON STELLE";1,00
06655;"""I"" CON STELLE";1,00
06654;"""H"" CON STELLE";1,00
06653;"""G"" CON STELLE";1,00
06652;"""F"" CON STELLE";1,00
06651;"""E"" CON STELLE";1,00
06650;"""D"" CON STELLE";1,00
06649;"""C"" CON STELLE";1,00
06648;"""B"" CON STELLE";1,00
08621;CHARM ACQUARIO;1,00
08620;CHARM CAPRICORNO;1,00
08619;CHARM SAGITTARIO;1,00
08618;CHARM SCORPIONE;1,00
08617;CHARM BILANCIA;1,00
08616;CHARM VERGINE;1,00
08615;CHARM LEONE;1,00
08614;CHARM CANCRO;1,00
08613;CHARM GEMELLI;1,00
08612;CHARM TORO;1,00
08611;CHARM ARIETE;1,00
06670;"""W"" CON STELLE";1,00
06669;"""K"" CON STELLE";1,00
06668;"""J"" CON STELLE";1,00
06667;"""Z"" CON STELLE";1,00
06666;"""V"" CON STELLE";1,00
06665;"""U"" CON STELLE";1,00
09644;CHARM RONDINE;1,00
06565;CHARM TARTARUGA;1,00
09854;CHARM APE;1,00
09523;CHARM LIBELLULA;1,00
06443;CHARM LIBELLULA;1,00
06442;CHARM LIBELLULA GRANDE;1,00
08240;CHARM TARTARUGA MARINA GRANDE;1,00
06444;CHARM COCCINELLA GRANDE;1,00
06566;CHARM COCCINELLA;1,00
06438;CHARM FARFALLA;1,00
06441;CHARM FARFALLA;1,00
06440;CHARM FARFALLA;1,00
06439;CHARM FARFALLA;1,00
